Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s), FLOP, GFLOPS, Operational Intensity;
6400,461,139,35,464668,0.000048,192000,4.000000,30.000000;
6400,461,148,18,464668,0.000049,192000,3.918367,30.000000;
6400,449,145,25,464668,0.000047,192000,4.085106,30.000000;
6400,523,151,4,464668,0.000045,192000,4.266666,30.000000;
6400,513,169,48,464668,0.000046,192000,4.173913,30.000000;
6400,459,138,36,464668,0.000045,192000,4.266666,30.000000;
6400,458,142,5,464668,0.000045,192000,4.266666,30.000000;
6400,497,115,1,464668,0.000046,192000,4.173913,30.000000;
;
57600,38561,3312,13,12228269,0.001629,5184000,3.182321,90.000000;
57600,132713,4787,2,12228268,0.001392,5184000,3.724138,90.000000;
57600,134146,731,4,12228268,0.001378,5184000,3.761974,90.000000;
57600,132966,4257,2,12228268,0.001389,5184000,3.732182,90.000000;
57600,133190,3933,2,12228269,0.001410,5184000,3.676596,90.000000;
57600,134165,518,0,12228268,0.001379,5184000,3.759246,90.000000;
57600,134485,451,2,12228268,0.001379,5184000,3.759246,90.000000;
57600,133442,4142,4,12228269,0.001435,5184000,3.612543,90.000000;
;
1440000,221670672,2418208,25394,1515245119,0.203684,648000000,3.181399,450.000000;
1440000,223550696,2476244,29888,1515245120,0.208275,648000000,3.111271,450.000000;
1440000,221877996,2586913,16885,1515245120,0.204609,648000000,3.167016,450.000000;
1440000,221657131,2422905,10009,1515245119,0.203078,648000000,3.190892,450.000000;
1440000,232854552,2333135,13230,1515245121,0.208571,648000000,3.106856,450.000000;
1440000,222510430,2531970,14294,1515245121,0.205329,648000000,3.155911,450.000000;
1440000,245474483,2016980,6726,1515245121,0.214083,648000000,3.026863,450.000000;
1440000,226008352,2439399,19948,1515245120,0.206793,648000000,3.133569,450.000000;
;
4000000,1208714968,29362837,2496316,7009007808,2.957801,3000000000,1.014267,750.000000;
4000000,1203987507,14326419,2159288,7009007811,2.962001,3000000000,1.012829,750.000000;
4000000,1203419785,19690687,2124757,7009007811,2.961274,3000000000,1.013078,750.000000;
4000000,1203401970,15197950,2243594,7009007809,2.955397,3000000000,1.015092,750.000000;
4000000,1212372672,19243675,1816103,7009007813,2.969571,3000000000,1.010247,750.000000;
4000000,1234662645,27417326,1747303,7009007811,2.960716,3000000000,1.013268,750.000000;
4000000,1203604299,22348712,2154702,7009007823,3.010487,3000000000,0.996516,750.000000;
4000000,1251836887,17333984,2001777,7009007810,2.961882,3000000000,1.012870,750.000000;
