Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s), FLOP, GFLOPS, Operational Intensity;
6400,484,114,33,461552,0.000048,192000,4.000000,30.000000;
6400,512,137,11,461552,0.000049,192000,3.918367,30.000000;
6400,508,132,25,461552,0.000047,192000,4.085106,30.000000;
6400,502,133,3,461552,0.000047,192000,4.085106,30.000000;
6400,450,155,40,461552,0.000050,192000,3.840000,30.000000;
6400,537,132,35,461552,0.000045,192000,4.266666,30.000000;
6400,497,106,4,461552,0.000046,192000,4.173913,30.000000;
6400,503,151,2,461552,0.000046,192000,4.173913,30.000000;
;
57600,121370,544,179,12199712,0.001361,5184000,3.808964,90.000000;
57600,121516,595,85,12199712,0.001356,5184000,3.823009,90.000000;
57600,121711,2046,5,12199713,0.001374,5184000,3.772926,90.000000;
57600,121603,627,0,12199712,0.001351,5184000,3.837158,90.000000;
57600,121301,1950,0,12199712,0.001351,5184000,3.837158,90.000000;
57600,120449,869,14,12199713,0.001400,5184000,3.702857,90.000000;
57600,119847,1795,45,12199712,0.001354,5184000,3.828656,90.000000;
57600,120219,759,253,12199712,0.001363,5184000,3.803375,90.000000;
;
1440000,219192610,13927301,35260,1514526323,0.204144,648000000,3.174230,450.000000;
1440000,219713460,13979623,9559,1514526323,0.204243,648000000,3.172691,450.000000;
1440000,219178758,13941606,28281,1514526323,0.204645,648000000,3.166459,450.000000;
1440000,253975144,13923180,9962,1514526327,0.219388,648000000,2.953671,450.000000;
1440000,220264578,13921177,11050,1514526323,0.206700,648000000,3.134978,450.000000;
1440000,219163469,14002188,11500,1514526323,0.204023,648000000,3.176112,450.000000;
1440000,219142566,13917588,11729,1514526323,0.203983,648000000,3.176735,450.000000;
1440000,221575328,14036561,21365,1514526324,0.208062,648000000,3.114456,450.000000;
;
4000000,1210714023,73178370,3847879,7007009831,3.003409,3000000000,0.998865,750.000000;
4000000,1208397330,67461377,5103510,7007009825,3.000274,3000000000,0.999909,750.000000;
4000000,1228585523,68465909,4046778,7007009827,2.999203,3000000000,1.000266,750.000000;
4000000,1199291514,70922076,3428183,7007009827,3.016920,3000000000,0.994392,750.000000;
4000000,1208394922,67603830,3240508,7007009826,3.008475,3000000000,0.997183,750.000000;
4000000,1198652852,70313111,4132046,7007009838,3.057055,3000000000,0.981337,750.000000;
4000000,1202076354,68712785,6363875,7007009829,3.012304,3000000000,0.995915,750.000000;
4000000,1217536328,70654818,5102980,7007009845,3.082984,3000000000,0.973083,750.000000;
