Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s), FLOP, GFLOPS, Operational Intensity;
6400,472,116,27,464668,0.000048,192000,4.000000,30.000000;
6400,466,169,6,464668,0.000046,192000,4.173913,30.000000;
6400,508,135,4,464668,0.000046,192000,4.173913,30.000000;
6400,509,162,0,464668,0.000057,192000,3.368421,30.000000;
6400,416,170,6,464668,0.000046,192000,4.173913,30.000000;
6400,436,160,21,464668,0.000056,192000,3.428571,30.000000;
6400,472,167,1,464668,0.000046,192000,4.173913,30.000000;
6400,554,148,0,464668,0.000046,192000,4.173913,30.000000;
;
57600,134395,1479,10,12228269,0.001394,5184000,3.718795,90.000000;
57600,133878,2174,9,12228268,0.001372,5184000,3.778426,90.000000;
57600,134324,399,6,12228268,0.001368,5184000,3.789474,90.000000;
57600,106901,2165,4,12228269,0.001588,5184000,3.264484,90.000000;
57600,33616,4732,30,12228268,0.001409,5184000,3.679205,90.000000;
57600,34065,864,0,12228268,0.001404,5184000,3.692308,90.000000;
57600,32065,5894,1,12228268,0.001422,5184000,3.645570,90.000000;
57600,33487,6526,27,12228269,0.001442,5184000,3.595007,90.000000;
;
1440000,222125955,1909727,8433,1515245119,0.202825,648000000,3.194873,450.000000;
1440000,225666238,1831611,22697,1515245119,0.204812,648000000,3.163877,450.000000;
1440000,232764215,1737015,7003,1515245120,0.208277,648000000,3.111241,450.000000;
1440000,250654123,1405390,3575,1515245122,0.215045,648000000,3.013323,450.000000;
1440000,236675660,1641239,6842,1515245121,0.209384,648000000,3.094792,450.000000;
1440000,222554963,1933820,6936,1515245120,0.203780,648000000,3.179900,450.000000;
1440000,255205321,1327451,2828,1515245124,0.216961,648000000,2.986712,450.000000;
1440000,222163956,1940713,22348,1515245120,0.203839,648000000,3.178979,450.000000;
;
4000000,1209723745,14399523,1988026,7009007813,2.971383,3000000000,1.009631,750.000000;
4000000,1210722112,15946260,1979566,7009007809,2.956437,3000000000,1.014735,750.000000;
4000000,1205235079,23184087,2399063,7009007813,2.968910,3000000000,1.010472,750.000000;
4000000,1206728519,22452230,1799342,7009007811,2.960999,3000000000,1.013172,750.000000;
4000000,1207284282,27809581,1798301,7009007815,2.977187,3000000000,1.007663,750.000000;
4000000,1205019993,27260330,1717121,7009007812,2.962894,3000000000,1.012524,750.000000;
4000000,1204851972,31870309,1694194,7009007819,2.995768,3000000000,1.001413,750.000000;
4000000,1210900010,15468349,2222035,7009007826,3.013519,3000000000,0.995514,750.000000;
